runner_id,gender,age,segment_name,segment_distance_miles,elevation_gain_feet,elevation_loss_feet,mean_grade,cumulative_miles_completed,elapsed_hours_at_segment_start,velocity_mph
149,M,25,Devil's Thumb_to_Michigan Bluff,7.900000000000006,2262.89705404,2948.82883452,-0.013860776276281794,47.8,9.138333333333334,4.627399934917022
149,M,25,Michigan Bluff_to_Foresthill,6.299999999999997,1531.1450621200022,1449.0846920400024,-0.018318636156226434,55.7,10.845555555555556,4.962800875273523
149,M,25,Foresthill_to_Rucky Chucky,16.0,2334.314379159998,4858.340050479998,-0.031168987128378137,62.0,12.115,5.18265251034731
149,M,25,Rucky Chucky_to_Green Gate,1.7999999999999972,690.0164262800002,118.74016128000021,0.06353791274564467,78.0,15.202222222222222,3.2860040567951243
149,M,25,Green Gate_to_Auburn Lake Trails,5.400000000000006,1046.6142067200008,886.0597396400007,0.004705208642353355,79.8,15.75,4.004944375772565
149,M,25,Auburn Lake Trails_to_Pointed Rocks,9.099999999999994,1617.2408653999992,1695.8071408799995,-0.008060583729981825,85.2,17.098333333333333,3.7278106508875695
149,M,25,Pointed Rocks_to_Finish,5.900000000000006,1250.07549932,1342.8314077999999,5.891218507828883e-05,94.3,19.539444444444445,4.26677380474086
43,F,24,Start_to_Lyon Ridge,10.3,3119.632645759996,2420.8301299599966,-0.0045734890175560495,0.0,0.0,5.497405485544848
43,F,24,Lyon Ridge_to_Red Star Ridge,5.5,1428.9961087199954,1068.8681444399945,0.009060059742034849,10.3,1.8736111111111111,5.60430229266912
43,F,24,Red Star Ridge_to_Robinson Flat,14.5,2667.040767760004,3404.511263800005,-0.019540777186332042,15.8,2.855,6.103121711680111
43,F,24,Robinson Flat_to_Dusty Corners,7.699999999999999,673.2644572400015,1657.1883732400017,-0.01889194530219063,30.3,5.230833333333334,6.93173293323331
43,F,24,Dusty Corners_to_Devil's Thumb,9.799999999999997,1734.1864071999964,3369.6096878799963,-0.0013904429802586353,38.0,6.341666666666667,5.744057310322368
43,F,24,Devil's Thumb_to_Michigan Bluff,7.900000000000006,2262.89705404,2948.82883452,-0.013860776276281794,47.8,8.047777777777778,5.3298350824587715
43,F,24,Michigan Bluff_to_Foresthill,6.299999999999997,1531.1450621200022,1449.0846920400024,-0.018318636156226434,55.7,9.530000000000001,5.824345146379049
43,F,24,Foresthill_to_Rucky Chucky,16.0,2334.314379159998,4858.340050479998,-0.031168987128378137,62.0,10.611666666666666,5.634353907854839
43,F,24,Rucky Chucky_to_Green Gate,1.7999999999999972,690.0164262800002,118.74016128000021,0.06353791274564467,78.0,13.451388888888888,3.868656716417898
43,F,24,Green Gate_to_Auburn Lake Trails,5.400000000000006,1046.6142067200008,886.0597396400007,0.004705208642353355,79.8,13.916666666666666,4.772894672231775
43,F,24,Auburn Lake Trails_to_Pointed Rocks,9.099999999999994,1617.2408653999992,1695.8071408799995,-0.008060583729981825,85.2,15.048055555555555,2.5846153846153825
43,F,24,Pointed Rocks_to_Finish,5.900000000000006,1250.07549932,1342.8314077999999,5.891218507828883e-05,94.3,18.56888888888889,2.2991989608140333
416,M,39,Start_to_Lyon Ridge,10.3,3119.632645759996,2420.8301299599966,-0.0045734890175560495,0.0,0.0,4.922341696535245
416,M,39,Lyon Ridge_to_Red Star Ridge,5.5,1428.9961087199954,1068.8681444399945,0.009060059742034849,10.3,2.0925000000000002,5.329744279946166
416,M,39,Red Star Ridge_to_Robinson Flat,14.5,2667.040767760004,3404.511263800005,-0.019540777186332042,15.8,3.1244444444444444,5.703048180924286
416,M,39,Robinson Flat_to_Dusty Corners,7.699999999999999,673.2644572400015,1657.1883732400017,-0.01889194530219063,30.3,5.666944444444445,6.0
416,M,39,Dusty Corners_to_Devil's Thumb,9.799999999999997,1734.1864071999964,3369.6096878799963,-0.0013904429802586353,38.0,6.950277777777778,5.082108902333621
416,M,39,Devil's Thumb_to_Michigan Bluff,7.900000000000006,2262.89705404,2948.82883452,-0.013860776276281794,47.8,8.87861111111111,4.349288882092065
416,M,39,Michigan Bluff_to_Foresthill,6.299999999999997,1531.1450621200022,1449.0846920400024,-0.018318636156226434,55.7,10.695,3.109404990403069
